sintoma_1,sintoma_2,doenca_associada
dor no peito,esforço,Angina estável
dor no peito,subir escadas,Angina estável
aperto no tórax,braço esquerdo,Síndrome coronariana aguda (suspeita)
falta de ar,deitar,Insuficiência cardíaca
cansaço extremo,falta de ar,Insuficiência cardíaca
falta de ar,escada,Angina ou doença arterial coronariana
peso no peito,repouso,Angina instável
palpitações,tontura,Arritmia cardíaca
tonteira,pressão,Hipertensão arterial com risco cardiovascular
aperto,braço esquerdo,Síndrome coronariana aguda (suspeita)
batimentos irregulares,desmaio,Arritmia ou síncope cardiogênica
inchaço,cansaço,Insuficiência cardíaca
dor no peito,inclinar,Pericardite
dor no peito,deitar,Pericardite
pressão arterial elevada,tonteira,Hipertensão arterial com risco cardiovascular
aperto na garganta,falta de ar,Angina típica
dor no peito,carregar peso,Angina estável
cansaço,atividades simples,Insuficiência cardíaca
falta de ar,travesseiros,Insuficiência cardíaca (ortopneia)
desmaio,tontura,Síncope (causa cardíaca ou vascular)
dor no peito,irradia,Síndrome coronariana aguda (suspeita)
esforço físico,dor no peito,Angina estável
zumbido no ouvido,pressão,Hipertensão arterial
batimentos disparados,repouso,Arritmia
peito,medo,Ansiedade ou síndrome coronariana (diferencial)
falta de ar,correr,Angina estável
aperto,tórax,Angina ou infarto (avaliar urgência)
cansaço,descansar,Insuficiência cardíaca ou anemia (diferencial clínico)
dor no peito,febre,Pericardite ou infecção (diferencial)
tonteira,esforço,Hipertensão ou estenose aórtica (diferencial)
peito,repouso,Angina instável ou infarto (urgência)
